r,parity_prefix_int,parity_prefix_bin,popcount
29151,710559,10101101011110011111,14
29159,482935,01110101111001110111,14
29167,679663,10100101111011101111,14
29183,411135,01100100010111111111,13
29215,850271,11001111100101011111,14
29275,589243,10001111110110111011,14
29295,324975,01001111010101101111,13
29339,597883,10010001111101111011,13
29343,473567,01110011100111011111,14
29351,1037751,11111101010110110111,15
29375,552639,10000110111010111111,13
29391,775119,10111101001111001111,14
29423,900591,11011011110111101111,16
29439,654079,10011111101011111111,16
29471,251487,00111101011001011111,13
29511,1023447,11111001110111010111,15
29543,257015,00111110101111110111,15
29567,620159,10010111011001111111,14
29663,880031,11010110110110011111,14
29695,644095,10011101001111111111,15
29723,741115,10110100111011111011,14
29787,179131,00101011101110111011,13
29855,455647,01101111001111011111,15
29919,948895,11100111101010011111,14
29927,572791,10001011110101110111,13
29935,458735,01101111111111101111,17
29951,247039,00111100010011111111,13
29979,454139,01101110110111111011,15
29999,423599,01100111011010101111,13
30023,318423,01001101101111010111,13
30111,188127,00101101111011011111,14
30143,716735,10101110111110111111,16
30159,229071,00110111111011001111,14
30175,371615,01011010101110011111,13
30239,947551,11100111010101011111,14
30255,888751,11011000111110101111,14
30367,277983,01000011110111011111,13
30399,946879,11100111001010111111,14
30439,1014647,11110111101101110111,16
30463,907007,11011101011011111111,16
30491,299003,01001000111111111011,13
30631,671415,10100011111010110111,13
30719,862207,11010010011111111111,15
30751,439135,01101011001101011111,13
30783,642623,10011100111000111111,13
30811,180155,00101011111110111011,14
30823,903927,11011100101011110111,14
30831,960367,11101010011101101111,14
30847,190847,00101110100101111111,13
30879,491487,01110111111111011111,17
30927,679375,10100101110111001111,13
30943,915103,11011111011010011111,15
30959,469999,01110010101111101111,14
31003,1044987,11111111000111111011,16
31039,1038143,11111101011100111111,16
31047,401367,01100001111111010111,13
31103,915583,11011111100001111111,15
31167,719807,10101111101110111111,16
31215,685807,10100111011011101111,14
31231,339455,01010010110111111111,14
31343,130415,00011111110101101111,14
31387,604027,10010011011101111011,13
31399,957879,11101001110110110111,14
31423,911039,11011110011010111111,15
31463,655223,10011111111101110111,16
31483,699867,10101010110111011011,13
31515,302075,01001001101111111011,13
31519,695903,10101001111001011111,13
31679,705983,10101100010110111111,13
31739,506587,01111011101011011011,14
31743,56319,00001101101111111111,14
31807,621119,10010111101000111111,13
31847,519927,01111110111011110111,16
31855,899951,11011011101101101111,15
31903,830431,11001010101111011111,14
31911,383927,01011101101110110111,14
31935,375999,01011011110010111111,14
31983,477167,01110100011111101111,14
31995,650203,10011110101111011011,14
31999,384255,01011101110011111111,15
32027,1009147,11110110010111111011,15
32127,619647,10010111010001111111,13
32159,194271,00101111011011011111,14
32191,55231,00001101011110111111,13
32255,342527,01010011100111111111,14
32287,556383,10000111110101011111,13
32359,374007,01011011010011110111,13
32383,995199,11110010111101111111,16
32411,969595,11101100101101111011,14
32415,497119,01111001010111011111,14
32447,555711,10000111101010111111,13
32463,810959,11000101111111001111,14
32495,1042927,11111110100111101111,16
32507,252379,00111101100111011011,13
32511,319231,01001101111011111111,15
32539,161787,00100111011111111011,14
32615,1011703,11110110111111110111,17
32751,981231,11101111100011101111,15
32767,98303,00010111111111111111,16
32795,744187,10110101101011111011,14
32815,351663,01010101110110101111,13
32831,456255,01101111011000111111,14
32839,224983,00110110111011010111,13
32871,193271,00101111001011110111,13
32879,507759,01111011111101101111,16
32927,837599,11001100011111011111,14
32991,327327,01001111111010011111,14
33019,872411,11010100111111011011,14
33051,457211,01101111100111111011,15
33095,407511,01100011011111010111,13
33127,643575,10011101000111110111,13
33215,873407,11010101001110111111,14
33247,378783,01011100011110011111,13
33263,732911,10110010111011101111,14
33279,366079,01011001010111111111,14
33327,891823,11011001101110101111,14
33371,372155,01011010110110111011,13
33407,998271,11110011101101111111,16
33435,323451,01001110111101111011,14
33439,485855,01110110100111011111,14
33471,982719,11101111111010111111,17
33519,1002991,11110100110111101111,15
33563,308219,01001011001111111011,13
33627,441019,01101011101010111011,13
33639,1014775,11110111101111110111,17
33727,581055,10001101110110111111,14
33759,187807,00101101110110011111,13
33791,893951,11011010001111111111,15
33823,933727,11100011111101011111,15
33883,191419,00101110101110111011,13
